nazwa,lokalizacja,url,ilosc_samochodow,srednia_cena,sredni_wiek
igorsalasa2012,Bychawa,https://allegro.pl/uzytkownik/igorsalasa2012,1,17800.0,2009.0
WITO116,Warszawa,https://allegro.pl/uzytkownik/WITO116,4,30850.0,2012.5
k-w-a-d-i-2,Płock,https://allegro.pl/uzytkownik/k-w-a-d-i-2,26,22053.85,2008.88
shamanica,Swarzędz-zalasewo,https://allegro.pl/uzytkownik/shamanica,1,5500.0,2003.0
mustang148,Czarna woda,https://allegro.pl/uzytkownik/mustang148,1,15500.0,2007.0
kakan1977,Łódź,https://allegro.pl/uzytkownik/kakan1977,1,18000.0,2009.0
PRIMAJET,Łask,https://allegro.pl/uzytkownik/PRIMAJET,63,23601.59,2008.21
acho1,Kraków,https://allegro.pl/uzytkownik/acho1,1,18200.0,2009.0
aras_prus,Chojnice,https://allegro.pl/uzytkownik/aras_prus,1,14500.0,2007.0
jeepekcar,Kamienna góra,https://allegro.pl/uzytkownik/jeepekcar,123,46218.98,2012.76
DRZWI_WINDOOR,Maków nowy,https://allegro.pl/uzytkownik/DRZWI_WINDOOR,2,24400.0,2010.0
majk23237,Poznań,https://allegro.pl/uzytkownik/majk23237,1,3500.0,2003.0
GREG646,Lubin,https://allegro.pl/uzytkownik/GREG646,1,4700.0,2002.0
wojtekml8001,Chełm śląski,https://allegro.pl/uzytkownik/wojtekml8001,1,6800.0,2004.0
shootcars,Radomsko,https://allegro.pl/uzytkownik/shootcars,19,35594.63,2009.79
auto_teile1,Wrocław gera,https://allegro.pl/uzytkownik/auto_teile1,6,5783.33,2005.0
Ivanannajes,Laski,https://allegro.pl/uzytkownik/Ivanannajes,1,16500.0,2006.0
mario-mario3,Radom,https://allegro.pl/uzytkownik/mario-mario3,7,39157.14,2006.0
Komis_Perfekt,Wągrowiec,https://allegro.pl/uzytkownik/Komis_Perfekt,130,50612.3,2013.08
mihow7,Warszawa,https://allegro.pl/uzytkownik/mihow7,1,9500.0,2004.0
almar_spzoospk,Kraków,https://allegro.pl/uzytkownik/almar_spzoospk,1,16000.0,2009.0
Indianer1649,Rybnik,https://allegro.pl/uzytkownik/Indianer1649,1,7499.0,2005.0
rysiu081989,Milicz,https://allegro.pl/uzytkownik/rysiu081989,1,40500.0,2012.0
dawmac,Perzów,https://allegro.pl/uzytkownik/dawmac,5,44140.0,2006.6
y2b3,Rzeszów,https://allegro.pl/uzytkownik/y2b3,1,19000.0,2007.0
domaniak2,Płońsk,https://allegro.pl/uzytkownik/domaniak2,2,15850.0,2007.5
NEW_MEDIA,Warszawa,https://allegro.pl/uzytkownik/NEW_MEDIA,7,19314.29,2004.0
MGC-AUTO,Łaziska górne,https://allegro.pl/uzytkownik/MGC-AUTO,46,45185.85,2011.2
MEGA-CAR,Łuków,https://allegro.pl/uzytkownik/MEGA-CAR,25,24916.0,2007.88
Sulin,Płock,https://allegro.pl/uzytkownik/Sulin,1,12600.0,2006.0
phuautomix,Sędziszów młp.,https://allegro.pl/uzytkownik/phuautomix,112,27797.65,2010.33
lobuziaczek7,Cała polska,https://allegro.pl/uzytkownik/lobuziaczek7,1,9999.0,1980.0
CARSComplex,Kościerzyna,https://allegro.pl/uzytkownik/CARSComplex,43,21904.65,2007.56
SONARAUTOMAX_VIP,Radom,https://allegro.pl/uzytkownik/SONARAUTOMAX_VIP,35,94617.43,2013.86
michael09m,Bielsko-biała ,https://allegro.pl/uzytkownik/michael09m,1,3600.0,2004.0
Nawojowa_Gora,Nawojowa góra,https://allegro.pl/uzytkownik/Nawojowa_Gora,1,10500.0,2007.0
ewcars,Kościerzyna,https://allegro.pl/uzytkownik/ewcars,17,34094.12,2010.24
autokutno_pl,Kutno,https://allegro.pl/uzytkownik/autokutno_pl,215,17624.26,2006.7
stela14,Rybnik,https://allegro.pl/uzytkownik/stela14,59,46087.24,2010.58
wladycho,Zielona góra,https://allegro.pl/uzytkownik/wladycho,1,14999.0,2006.0
centrumtwojeauto,Budzyń,https://allegro.pl/uzytkownik/centrumtwojeauto,158,24487.52,2006.59
AutaZwolen,Zwolen,https://allegro.pl/uzytkownik/AutaZwolen,88,23732.3,2008.64
1CAROUTLET,Myślenice,https://allegro.pl/uzytkownik/1CAROUTLET,151,40521.17,2012.52
Client:28118870,Skoki duże,https://allegro.pl/uzytkownik/Client:28118870,2,14550.0,2006.0
auto-car24,Radom,https://allegro.pl/uzytkownik/auto-car24,51,47370.59,2008.27
ARautorobi,Gostyń,https://allegro.pl/uzytkownik/ARautorobi,18,25910.78,2005.33
KondziQ1,Bielsko-biała,https://allegro.pl/uzytkownik/KondziQ1,1,3800.0,1998.0
apuscar,Kraków,https://allegro.pl/uzytkownik/apuscar,6,22048.33,2010.17
Piotranswisznice,Wisznice,https://allegro.pl/uzytkownik/Piotranswisznice,120,18780.0,2006.71
arkokomis_pl,Zieleniowo,https://allegro.pl/uzytkownik/arkokomis_pl,48,25022.92,2007.1
lola15_2006,Łowicz,https://allegro.pl/uzytkownik/lola15_2006,1,3000.0,2005.0
FabrykaTarasow,Tarnów,https://allegro.pl/uzytkownik/FabrykaTarasow,1,269000.0,2016.0
agussskaaaa,Chorzów,https://allegro.pl/uzytkownik/agussskaaaa,1,19357.0,2009.0
FERRARI-KATOWICE,Katowice,https://allegro.pl/uzytkownik/FERRARI-KATOWICE,23,1073217.04,2013.3
Red-Cars,Swarzedz,https://allegro.pl/uzytkownik/Red-Cars,2,30000.0,2017.5
nastradamus24,Warszawa,https://allegro.pl/uzytkownik/nastradamus24,3,37200.0,2010.33
mmm_cars,Marcelin,https://allegro.pl/uzytkownik/mmm_cars,4,49650.0,2011.5
ronon85,Poznań,https://allegro.pl/uzytkownik/ronon85,1,69000.0,2016.0
casanowa1833,Września,https://allegro.pl/uzytkownik/casanowa1833,1,43900.0,2007.0
topautokredyt,Warszawa,https://allegro.pl/uzytkownik/topautokredyt,12,33402.33,2011.33
MacherGSM,Sosnowiec,https://allegro.pl/uzytkownik/MacherGSM,21,91700.0,2012.29
sabcio308,Osiek,https://allegro.pl/uzytkownik/sabcio308,1,55000.0,2012.0
finezja221,Zachodniopomorskie,https://allegro.pl/uzytkownik/finezja221,1,49900.0,2013.0
ytr1988,Kijno,https://allegro.pl/uzytkownik/ytr1988,5,37900.0,2009.8
tachcim,Lubań,https://allegro.pl/uzytkownik/tachcim,2,25699.5,2008.5
Czarnajaa,Gdynia,https://allegro.pl/uzytkownik/Czarnajaa,1,56000.0,2009.0
-visio-,Gubin,https://allegro.pl/uzytkownik/-visio-,14,31642.86,2006.93
shootArt_pl_11,Gubin,https://allegro.pl/uzytkownik/shootArt_pl_11,4,12850.0,2004.5
Hivision-H1,Strzegom,https://allegro.pl/uzytkownik/Hivision-H1,1,67900.0,2013.0
AngelCar,Płock,https://allegro.pl/uzytkownik/AngelCar,2,69750.0,2015.0
ArletUncia,Zielona góra,https://allegro.pl/uzytkownik/ArletUncia,5,301500.0,2012.8
CLS55,Płock,https://allegro.pl/uzytkownik/CLS55,23,64882.61,2011.48
